library_id	r1_stem	r2_stem
ERR1110470	ERR1110470_1	
ERR1110471	ERR1110471_1	
ERR1110472	ERR1110472_1	
ERR1110473	ERR1110473_1	
ERR1110474	ERR1110474_1	
ERR1136602	ERR1136602_1	ERR1136602_2
ERR1136603	ERR1136603_1	ERR1136603_2
ERR1136604	ERR1136604_1	ERR1136604_2
ERR1136605	ERR1136605_1	ERR1136605_2
ERR1136606	ERR1136606_1	ERR1136606_2
ERR1136607	ERR1136607_1	ERR1136607_2
ERR1136608	ERR1136608_1	ERR1136608_2
ERR1136609	ERR1136609_1	ERR1136609_2
ERR1136610	ERR1136610_1	ERR1136610_2
ERR1136611	ERR1136611_1	ERR1136611_2
ERR1136612	ERR1136612_1	ERR1136612_2
ERR1136613	ERR1136613_1	ERR1136613_2
ERR1136614	ERR1136614_1	ERR1136614_2
ERR1136615	ERR1136615_1	ERR1136615_2
ERR1136616	ERR1136616_1	ERR1136616_2
ERR1136617	ERR1136617_1	ERR1136617_2
ERR1136618	ERR1136618_1	ERR1136618_2
ERR1136619	ERR1136619_1	ERR1136619_2
ERR1136620	ERR1136620_1	ERR1136620_2
ERR1136621	ERR1136621_1	ERR1136621_2
ERR1136622	ERR1136622_1	ERR1136622_2
ERR1136623	ERR1136623_1	ERR1136623_2
ERR1136624	ERR1136624_1	ERR1136624_2
ERR1136625	ERR1136625_1	ERR1136625_2
ERR1136626	ERR1136626_1	ERR1136626_2
ERR1136627	ERR1136627_1	ERR1136627_2
ERR1136628	ERR1136628_1	ERR1136628_2
ERR1136629	ERR1136629_1	ERR1136629_2
ERR1136630	ERR1136630_1	ERR1136630_2
ERR1136631	ERR1136631_1	ERR1136631_2
ERR1136632	ERR1136632_1	ERR1136632_2
ERR1136633	ERR1136633_1	ERR1136633_2
ERR1136634	ERR1136634_1	ERR1136634_2
ERR1136635	ERR1136635_1	ERR1136635_2
ERR1136636	ERR1136636_1	ERR1136636_2
ERR1136637	ERR1136637_1	ERR1136637_2
ERR1136638	ERR1136638_1	ERR1136638_2
ERR1136639	ERR1136639_1	ERR1136639_2
ERR1136640	ERR1136640_1	ERR1136640_2
ERR1136641	ERR1136641_1	ERR1136641_2
ERR1136642	ERR1136642_1	ERR1136642_2
ERR1136643	ERR1136643_1	ERR1136643_2
ERR1136644	ERR1136644_1	ERR1136644_2
ERR1136645	ERR1136645_1	ERR1136645_2
ERR1136646	ERR1136646_1	ERR1136646_2
ERR1136647	ERR1136647_1	ERR1136647_2
ERR1136648	ERR1136648_1	ERR1136648_2
ERR1136649	ERR1136649_1	ERR1136649_2
ERR1136650	ERR1136650_1	ERR1136650_2
ERR1136651	ERR1136651_1	ERR1136651_2
ERR1136652	ERR1136652_1	ERR1136652_2
ERR1136653	ERR1136653_1	ERR1136653_2
ERR1136654	ERR1136654_1	ERR1136654_2
ERR1136655	ERR1136655_1	ERR1136655_2
ERR1136656	ERR1136656_1	ERR1136656_2
ERR1136657	ERR1136657_1	ERR1136657_2
ERR1136658	ERR1136658_1	ERR1136658_2
ERR1136659	ERR1136659_1	ERR1136659_2
ERR1136660	ERR1136660_1	ERR1136660_2
ERR1136661	ERR1136661_1	ERR1136661_2
ERR1136662	ERR1136662_1	ERR1136662_2
ERR1136663	ERR1136663_1	ERR1136663_2
ERR1136664	ERR1136664_1	ERR1136664_2
ERR1136665	ERR1136665_1	ERR1136665_2
ERR1136666	ERR1136666_1	ERR1136666_2
ERR1136667	ERR1136667_1	ERR1136667_2
ERR1136668	ERR1136668_1	ERR1136668_2
ERR1136669	ERR1136669_1	ERR1136669_2
ERR1136670	ERR1136670_1	ERR1136670_2
ERR1136671	ERR1136671_1	ERR1136671_2
ERR1136672	ERR1136672_1	ERR1136672_2
ERR1136673	ERR1136673_1	ERR1136673_2
ERR1136674	ERR1136674_1	ERR1136674_2
ERR1136675	ERR1136675_1	ERR1136675_2
ERR1136676	ERR1136676_1	ERR1136676_2
ERR1136677	ERR1136677_1	ERR1136677_2
ERR1136678	ERR1136678_1	ERR1136678_2
ERR1136679	ERR1136679_1	ERR1136679_2
ERR1136680	ERR1136680_1	ERR1136680_2
ERR1136681	ERR1136681_1	ERR1136681_2
ERR1136682	ERR1136682_1	ERR1136682_2
ERR1136683	ERR1136683_1	ERR1136683_2
ERR1136684	ERR1136684_1	ERR1136684_2
ERR1136685	ERR1136685_1	ERR1136685_2
ERR1136686	ERR1136686_1	ERR1136686_2
ERR1136687	ERR1136687_1	ERR1136687_2
ERR1136688	ERR1136688_1	ERR1136688_2
ERR1136689	ERR1136689_1	ERR1136689_2
ERR1136690	ERR1136690_1	ERR1136690_2
ERR1136691	ERR1136691_1	ERR1136691_2
ERR1136692	ERR1136692_1	ERR1136692_2
ERR1136693	ERR1136693_1	ERR1136693_2
ERR1136694	ERR1136694_1	ERR1136694_2
ERR1136695	ERR1136695_1	ERR1136695_2
ERR1136696	ERR1136696_1	ERR1136696_2
ERR1136697	ERR1136697_1	ERR1136697_2
ERR1136698	ERR1136698_1	ERR1136698_2
ERR1136699	ERR1136699_1	ERR1136699_2
ERR1136700	ERR1136700_1	ERR1136700_2
ERR1136701	ERR1136701_1	ERR1136701_2
ERR1136702	ERR1136702_1	ERR1136702_2
ERR1136703	ERR1136703_1	ERR1136703_2
ERR1136704	ERR1136704_1	ERR1136704_2
ERR1136705	ERR1136705_1	ERR1136705_2
ERR1136706	ERR1136706_1	ERR1136706_2
ERR1136707	ERR1136707_1	ERR1136707_2
ERR1136708	ERR1136708_1	ERR1136708_2
ERR1136709	ERR1136709_1	ERR1136709_2
ERR1136710	ERR1136710_1	ERR1136710_2
ERR1136711	ERR1136711_1	ERR1136711_2
ERR1136712	ERR1136712_1	ERR1136712_2
ERR1136713	ERR1136713_1	ERR1136713_2
ERR1136714	ERR1136714_1	ERR1136714_2
ERR1136715	ERR1136715_1	ERR1136715_2
ERR1136716	ERR1136716_1	ERR1136716_2
ERR1136717	ERR1136717_1	ERR1136717_2
