library_id	library_group
ERR1137018	core
ERR1137019	core
ERR1137020	core
ERR1137021	core
ERR1137022	core
ERR1137023	core
ERR1137024	core
ERR1137025	core
ERR1137026	core
ERR1137027	core
ERR1137028	core
ERR1137029	core
ERR1137030	core
ERR1137031	core
ERR1137032	core
ERR1137033	core
ERR1137034	core
ERR1137035	core
ERR1137036	core
ERR1137037	core
ERR1137038	core
ERR1137039	core
ERR1137040	core
ERR1137041	core
ERR1137042	core
ERR1137043	core
ERR1137044	core
ERR1137045	core
ERR1137046	core
ERR1137047	core
ERR1137048	core
ERR1137049	core
ERR1137050	core
ERR1137051	core
ERR1137052	core
ERR1137053	core
ERR1137054	core
ERR1137055	core
ERR1137056	core
ERR1137057	core
ERR1137058	core
ERR1137059	core
ERR1137060	core
ERR1137061	core
ERR1137062	core
ERR1137063	core
ERR1137064	core
ERR1137065	core
ERR1137066	core
ERR1137067	core
ERR1137068	core
ERR1137069	core
ERR1137070	core
ERR1137071	core
ERR1137072	core
ERR1137073	core
ERR1137074	core
ERR1137075	core
ERR1137076	core
ERR1137077	core
ERR1137078	core
ERR1137079	core
ERR1137080	core
ERR1137081	core
ERR1137082	core
ERR1137083	core
ERR1137084	core
ERR1137085	core
ERR1137086	core
ERR1137087	core
ERR1137088	core
ERR1137089	core
ERR1137090	core
ERR1137091	core
ERR1137092	core
ERR1137093	core
ERR1137094	core
ERR1137095	core
ERR1137096	core
ERR1137097	core
ERR1137098	core
ERR1137099	core
ERR1137100	core
ERR1137101	core
ERR1137102	core
ERR1137103	core
ERR1137104	core
ERR1137105	core
ERR1137106	core
ERR1137107	core
ERR1137108	core
ERR1137109	core
ERR1137110	core
ERR1137111	core
ERR1137112	core
ERR1137113	core
ERR1137114	core
ERR1137115	core
ERR1137116	core
ERR1137117	core
ERR1137118	core
ERR1137119	core
ERR1137120	core
ERR1137121	core
ERR1137122	core
ERR1137123	core
ERR1137124	core
ERR1137125	core
ERR1137126	core
ERR1137127	core
ERR1137128	core
ERR1137129	core
ERR1137130	core
ERR1137131	core
ERR1137132	core
ERR1137133	core
ERR1137134	core
ERR1137135	core
ERR1137136	core
ERR1137137	core
ERR1137138	core
ERR1137139	core
ERR1137140	core
ERR1137141	core
ERR1137142	core
ERR1137143	core
ERR1137144	core
ERR1137145	core
ERR1137146	core
ERR1137147	core
ERR1137148	core
ERR1137149	core
ERR1137150	core
ERR1137151	core
ERR1137152	core
ERR1137153	core
ERR1137154	core
ERR1137155	core
ERR1137156	core
ERR1137157	core
ERR1137158	core
ERR1137159	core
ERR1137160	core
ERR1137161	core
ERR1137162	core
ERR1137163	core
ERR1137164	core
ERR1137165	core
ERR1137166	core
ERR1137167	core
ERR1137168	core
ERR1137169	core
ERR1137170	core
ERR1137171	core
ERR1137172	core
ERR1137173	core
ERR1137174	core
ERR1137175	core
ERR1137176	core
ERR1137177	core
